timestamp,kwh,building
2024-01-01,73.91,Hostel
2024-01-02,188.98,Hostel
2024-01-03,316.67,Hostel
2024-01-04,155.8,Hostel
2024-01-05,484.24,Hostel
2024-01-06,475.27,Hostel
2024-01-07,431.78,Hostel
2024-01-08,262.55,Hostel
2024-01-09,428.66,Hostel
2024-01-10,109.0,Hostel
2024-01-11,188.93,Hostel
2024-01-12,258.35,Hostel
2024-01-13,383.83,Hostel
2024-01-14,268.62,Hostel
2024-01-15,111.59,Hostel
2024-01-16,204.59,Hostel
2024-01-17,195.99,Hostel
2024-01-18,185.19,Hostel
2024-01-19,124.48,Hostel
2024-01-20,236.71,Hostel
2024-01-21,251.65,Hostel
2024-01-22,398.71,Hostel
2024-01-23,408.38,Hostel
2024-01-24,285.08,Hostel
2024-01-25,257.28,Hostel
2024-01-26,400.2,Hostel
2024-01-27,449.28,Hostel
2024-01-28,353.71,Hostel
2024-01-29,410.22,Hostel
2024-01-30,472.6,Hostel
2024-01-31,68.3,Hostel
