timestamp,kwh,building
2024-01-01,270.84,Library
2024-01-02,217.57,Library
2024-01-03,264.83,Library
2024-01-04,214.65,Library
2024-01-05,427.06,Library
2024-01-06,395.89,Library
2024-01-07,191.3,Library
2024-01-08,307.68,Library
2024-01-09,174.22,Library
2024-01-10,253.78,Library
2024-01-11,208.84,Library
2024-01-12,345.83,Library
2024-01-13,216.66,Library
2024-01-14,256.59,Library
2024-01-15,373.7,Library
2024-01-16,235.85,Library
2024-01-17,457.89,Library
2024-01-18,131.2,Library
2024-01-19,383.5,Library
2024-01-20,240.07,Library
2024-01-21,241.9,Library
2024-01-22,335.47,Library
2024-01-23,285.31,Library
2024-01-24,236.7,Library
2024-01-25,50.64,Library
2024-01-26,91.52,Library
2024-01-27,369.23,Library
2024-01-28,285.96,Library
2024-01-29,363.27,Library
2024-01-30,479.96,Library
2024-01-31,357.31,Library
